Cruise ,Station,Species,Date_collection,FID,Standard_length_mm,Fork_length_mm,Total_length_mm,Total_weight_g,Sex,Liver_weight_g,Gonad_weight_g,Evisc_weight_g,Stomach_weight_g,Stomach_content_weight_g,Musc_taken,Comments
201804,138,P_tri,180918,1,120,140,161,74.8,F,1.63,0.42,66.36,0.62,0.36,Y,NA
201804,138,P_tri,180918,2,132,149,169,90.34,F,1.88,0.54,77.54,0.26,0.13,Y,NA
201804,117,P_tri,180916,1,80,96,108,17.09,M,0.36,0,14.42,0.19,0.14,Y,gonads extremely small
201804,117,P_tri,180916,2,82,95,112,20.13,F,0.25,0.05,17.24,0.19,0.13,Y,NA
201804,174,P_tri,180927,1,138,160,182,91.19,F,1.43,0.72,80.83,0.34,0.42,Y,NA
201804,174,P_tri,180927,2,123,146,161,76.11,F,1.32,0.36,66.7,1.23,0.41,Y,NA
201804,107,A_dub,180915,1,134,140,146,8.65,F,0.08,0.16,7.78,0.11,0.06,Y,NA
201804,107,A_dub,180915,2,164,174,178,17.39,U,0.13,NA,14.98,0.14,0.03,Y,No gonads found
201804,107,A_dub,180915,3,124,130,135,7.32,U,0.08,NA,6.21,0.13,0.07,Y,NA
201804,107,A_dub,180915,4,144,147,154,10.69,F,0.16,0.03,9.64,0.14,0.12,Y,NA
201804,107,A_dub,180915,5,132,142,146,8.23,F,NA,0.07,7.5,0.1,0.06,Y,"could not find liver, intestines hanging out of gills"
201804,154,P_tri,180919,1,92,106,123,27.29,U,0.54,NA,23.96,0.28,0.12,Y,NA
201804,154,P_tri,180919,2,87,102,118,22.95,U,0.4,NA,19.46,0.5,0.1,Y,NA
201804,159,P_tri,180920,1,116,133,157,61.6,F,1.3,0.16,51.12,1.76,0.23,Y,NA
201804,159,P_tri,180920,2,138,156,182,95.37,F,186,0.47,79.61,2.64,0.5,Y,NA
201804,169,P_tri,180926,1,142,161,190,93.67,M,1.6,0.27,82.73,0.2,0.13,Y,NA
201804,169,P_tri,180926,2,121,139,161,69.21,M,1.44,0.28,57.47,0.43,0.06,Y,NA
201804,140,P_tri,180918,1,127,145,166,82.73,F,2.15,0.74,72.69,0.27,0.14,Y,NA
201804,140,P_tri,180918,2,132,151,174,88.25,F,1.91,1.734,76.35,0.27,0.14,Y,NA
201804,144,P_tri,180918,1,112,132,151,52.15,M,1.49,0.18,46.44,0.27,0.07,Y,NA
201804,144,P_tri,180918,2,117,134,157,57.96,F,1.18,0.95,50,NA,0.08,Y,forgot to take full gut weight
201804,163,P_tri,180920,1,137,158,184,88.08,M,1.27,0.37,79.59,0.5,0.21,Y,*
201804,181,P_tri,180928,1,124,139,159,76.9,F,1.1,0.5,69.3,0.6,0.4,Y,NA
